stockcode,description,total_quantity,total_revenue,total_orders,unique_customers
21121,SET/10 RED POLKADOT PARTY CANDLES,8961,10708.77,438,301
22637,PIGGY BANK RETROSPOT ,4408,10708.52,496,329
21326,AGED GLASS SILVER T-LIGHT HOLDER,17578,10697.300000000001,532,307
22768,FAMILY PHOTO FRAME CORNICE,1150,10668.39,320,243
22729,ALARM CLOCK BAKELIKE ORANGE,2887,10637.94,500,236
21937,STRAWBERRY   PICNIC BAG,3820,10629.0,499,286
22950,36 DOILIES VINTAGE CHRISTMAS,7745,10591.85,299,251
21844,RED RETROSPOT MUG,3842,10577.900000000001,297,195
22109,FULL ENGLISH BREAKFAST PLATE,2939,10555.89,389,205
22417,PACK OF 60 SPACEBOY CAKE CASES,21049,10549.99,911,521
21868,POTTING SHED TEA MUG,8934,10545.18,719,377
22580,ADVENT CALENDAR GINGHAM SACK,1818,10534.58,388,275
22791,T-LIGHT GLASS FLUTED ANTIQUE,9153,10513.34,332,226
21907,I'M ON HOLIDAY METAL SIGN,5090,10504.150000000001,694,381
21172,PARTY METAL SIGN ,7517,10498.57,804,420
22468,BABUSHKA LIGHTS STRING OF 10,1668,10486.14,335,196
22508,DOORSTOP RETROSPOT HEART,2741,10456.0,577,400
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,7488,10423.199999999999,449,292
22274,FELTCRAFT DOLL EMILY,3728,10383.660000000002,578,344
48185,DOOR MAT FAIRY CAKE,1644,10377.68,316,181
23209,LUNCH BAG VINTAGE DOILY ,6452,10370.76,538,319
22488,NATURAL SLATE RECTANGLE CHALKBOARD,6496,10356.56,653,426
21210,SET OF 72 RETROSPOT PAPER  DOILIES,7370,10338.07,482,313
23209,LUNCH BAG DOILEY PATTERN ,6482,10331.3,464,290
22900, SET 2 TEA TOWELS I LOVE LONDON ,3698,10278.800000000001,331,203
21833,CAMOUFLAGE LED TORCH,6237,10273.65,337,210
22367,CHILDRENS APRON SPACEBOY DESIGN,5523,10252.89,714,450
22663,JUMBO BAG DOLLY GIRL DESIGN,5389,10249.81,526,268
21429,RED GINGHAM ROSE JEWELLERY BOX,6131,10240.35,764,418
22418,10 COLOUR SPACEBOY PEN,12284,10211.3,472,331
23170,REGENCY TEA PLATE ROSES ,6575,10190.789999999999,328,224
21524,DOOR MAT SPOTTY HOME SWEET HOME,1734,10129.18,256,170
20828,GLITTER BUTTERFLY CLIPS,4275,10091.25,499,261
21670,BLUE SPOT CERAMIC DRAWER KNOB,8204,10078.48,580,260
21624,VINTAGE UNION JACK DOORSTOP,1725,10077.23,350,281
22302,COFFEE MUG PEARS  DESIGN,4815,10061.26,352,212
23208,LUNCH BAG VINTAGE LEAF DESIGN,6225,10006.45,597,305
23300,GARDENERS KNEELING PAD CUP OF TEA ,6303,9963.39,635,351
22968,ROSE COTTAGE KEEPSAKE BOX ,1093,9941.55,243,182
21982,PACK OF 12 SUKI TISSUES ,32050,9941.4,521,335
22620,4 TRADITIONAL SPINNING TOPS,7696,9935.93,654,449
48111,DOOR MAT 3 SMILEY CATS,1777,9890.17,246,125
22966,GINGERBREAD MAN COOKIE CUTTER,8220,9840.41,610,422
16014,SMALL CHINESE STYLE SCISSOR,30369,9838.98,92,46
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2524,9831.4,211,150
22795,SWEETHEART RECIPE BOOK STAND,1519,9817.25,402,227
48194,DOOR MAT HEARTS,1662,9774.98,281,188
21257,VICTORIAN SEWING BOX MEDIUM,1294,9765.14,360,206
23343,JUMBO BAG VINTAGE CHRISTMAS ,4908,9748.34,385,286
22198,LARGE POPCORN HOLDER ,6122,9672.5,411,212
21922,UNION STRIPE WITH FRINGE  HAMMOCK,1286,9671.74,330,204
23076,ICE CREAM SUNDAE LIP GLOSS,7920,9668.16,248,202
21086,SET/6 RED SPOTTY PAPER CUPS,16070,9666.7,621,311
22970,LONDON BUS COFFEE MUG,4246,9666.300000000001,276,180
84880,WHITE WIRE EGG HOLDER,1745,9629.050000000001,327,185
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",2113,9617.27,283,174
84997B,CHILDRENS CUTLERY RETROSPOT RED ,2492,9603.68,229,157
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,2652,9579.880000000001,253,172
22740,POLKADOT PEN,11591,9521.63,180,142
22694,WICKER STAR ,4621,9521.1,720,484
21756,BATH BUILDING BLOCK WORD,1599,9501.880000000001,519,327
21890,S/6 WOODEN SKITTLES IN COTTON BAG,3344,9489.36,411,335
84792,ENCHANTED BIRD COATHANGER 5 HOOK,2229,9456.53,437,248
22064,PINK DOUGHNUT TRINKET POT ,6304,9450.6,479,213
22840,ROUND CAKE TIN VINTAGE RED,1259,9418.33,367,273
20829,GLITTER HANGING BUTTERFLY STRING,4728,9409.19,404,207
22120,WELCOME  WOODEN BLOCK LETTERS,978,9398.65,316,196
21974,SET OF 36 PAISLEY FLOWER DOILIES,6655,9379.31,557,355
48184,DOOR MAT ENGLISH ROSE ,1448,9364.42,291,184
22179,SET 10 LIGHTS NIGHT OWL,1458,9363.1,300,165
21735,TWO DOOR CURIO CABINET,799,9350.4,202,139
85014A,BLACK/BLUE POLKADOT UMBRELLA,1659,9305.640000000001,357,238
85099B,RED RETROSPOT JUMBO BAG ,5334,9291.3,183,157
22656,VINTAGE BLUE KITCHEN CABINET,45,9290.0,37,30
22300,COFFEE MUG DOG + BALL DESIGN,4025,9281.49,411,254
22942,CHRISTMAS LIGHTS 10 SANTAS ,1224,9278.45,217,176
23240,SET OF 4 KNICK KNACK TINS DOILY ,2294,9270.5,312,230
22668,PINK BABY BUNTING,3301,9269.31,381,296
22904,CALENDAR PAPER CUT DESIGN,3241,9245.990000000002,398,269
82552,WASHROOM METAL SIGN,6836,9209.91,654,346
22767,TRIPLE PHOTO FRAME CORNICE ,994,9204.779999999999,279,197
23171,REGENCY TEA PLATE GREEN ,5966,9184.9,270,195
22978,PANTRY ROLLING PIN,2407,9184.28,197,153
22144,CHRISTMAS CRAFT LITTLE FRIENDS,4475,9171.300000000001,535,392
21745,GAOLERS KEYS DECORATIVE GARDEN ,2707,9110.65,460,236
22380,TOY TIDY SPACEBOY  ,4682,9102.8,549,300
22429,ENAMEL MEASURING JUG CREAM,2201,9088.29,526,364
51008,AFGHAN SLIPPER SOCK PAIR,2828,9051.6,72,44
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,2487,9043.29,243,169
22549,PICTURE DOMINOES,6367,9023.99,540,403
23175,REGENCY MILK JUG PINK ,3066,9008.0,272,206
22131,FOOD CONTAINER SET 3 LOVE HEART ,5032,8976.82,496,276
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,2449,8969.27,504,278
21892,TRADITIONAL WOODEN CATCH CUP GAME ,7389,8959.42,601,447
22992,REVOLVER WOODEN RULER ,4917,8950.289999999999,285,217
82001S,VINYL RECORD FRAME SILVER,2577,8923.81,177,83
22381,TOY TIDY PINK POLKADOT,4554,8919.58,381,177
47570B,TEA TIME TABLE CLOTH,934,8916.78,188,129
21035,SET/2 RED RETROSPOT TEA TOWELS ,3074,8887.26,292,191
22089,PAPER BUNTING VINTAGE PAISLEY,3205,8868.7,421,290
85232B,SET/3 RUSSIAN DOLL STACKING TINS,1866,8864.300000000001,301,154
21781,MA CAMPAGNE CUTLERY BOX,611,8848.449999999999,314,150
21558,SKULL LUNCH BOX WITH CUTLERY ,3664,8730.3,490,253
22333,RETROSPOT PARTY BAG + STICKER SET,5662,8721.58,348,210
22741,FUNKY DIVA PEN,10345,8712.91,196,132
84030E,ENGLISH ROSE HOT WATER BOTTLE,2135,8665.16,408,254
22121,NOEL WOODEN BLOCK LETTERS ,1462,8640.640000000001,386,303
79000,MOROCCAN TEA GLASS,11609,8633.81,333,195
22725,ALARM CLOCK BAKELIKE CHOCOLATE,2330,8607.84,419,217
21539,RED RETROSPOT BUTTER DISH,1804,8589.6,438,235
21769,VINTAGE POST OFFICE CABINET,134,8562.52,48,42
22947,WOODEN ADVENT CALENDAR RED,779,8561.65,162,124
23582,VINTAGE DOILY JUMBO BAG RED ,4447,8535.26,234,186
23581,JUMBO BAG PAISLEY PARK,4373,8529.24,302,230
20724,RED SPOTTY CHARLOTTE BAG,10685,8499.85,587,282
21985,PACK OF 12 HEARTS DESIGN TISSUES ,24938,8491.519999999999,734,493
21385,IVORY HANGING DECORATION  HEART,10301,8456.33,505,320
22381,TOY TIDY PINK RETROSPOT  ,4284,8403.6,410,241
23318,BOX OF 6 MINI VINTAGE CRACKERS,3647,8350.41,329,270
22812,PACK 3 BOXES CHRISTMAS PANNETONE,4420,8327.9,339,266
22989,SET 2 PANTRY DESIGN TEA TOWELS,2697,8323.17,311,241
79323LP,LIGHT PINK CHERRY LIGHTS,1420,8311.0,159,107
84839,SWEETHEART KEY CABINET,1493,8302.95,351,219
21135,VICTORIAN  METAL POSTCARD SPRING,5860,8302.12,380,251
35961,FOLKART ZINC HEART CHRISTMAS DEC,10734,8300.22,397,262
22844,VINTAGE CREAM DOG FOOD CONTAINER,1010,8292.35,357,221
37370,RETRO COFFEE MUGS ASSORTED,7283,8271.45,344,184
21122,SET/10 PINK POLKADOT PARTY CANDLES,6866,8255.39,376,261
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6809,8244.61,382,201
20974,12 PENCILS SMALL TUBE SKULL,12961,8219.45,684,370
23319,BOX OF 6 MINI 50'S CRACKERS,3539,8216.79,365,300
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,2793,8213.59,354,232
22466,FAIRY TALE COTTAGE NIGHTLIGHT,4739,8209.05,227,146
22751,FELTCRAFT PRINCESS OLIVIA DOLL,2259,8205.29,414,269
23322,LARGE WHITE HEART OF WICKER,2908,8184.700000000001,511,350
21777,RECIPE BOX WITH METAL HEART,1073,8173.35,312,169
23082,SET 6 PAPER TABLE LANTERN HEARTS ,2265,8129.43,263,205
21933,PINK VINTAGE PAISLEY PICNIC BAG,3815,8127.01,469,294
21787,RAIN PONCHO RETROSPOT,10289,8124.53,232,150
22357,KINGS CHOICE BISCUIT TIN,1891,8120.59,316,259
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,2249,8118.110000000001,227,160
22215,CAKE STAND WHITE TWO TIER LACE,1042,8117.8,319,245
23078,ICE CREAM PEN LIP GLOSS ,6607,8077.31,213,159
23256,CHILDRENS CUTLERY SPACEBOY ,1982,7974.38,316,225
23080,RED METAL BOX TOP SECRET,1003,7962.03,221,148
21488,RED WHITE SCARF  HOT WATER BOTTLE,2165,7945.750000000001,301,216
21935,SUKI  SHOULDER BAG,5048,7942.62,452,234
21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,4935,7916.79,376,234
20750,RED/WHITE DOT MINI CASES,1112,7883.599999999999,250,172
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,975,7877.8,280,168
21533,RETROSPOT LARGE MILK JUG,1652,7866.6,393,251
22078,RIBBON REEL LACE DESIGN ,3859,7861.4,385,246
48188,DOOR MAT WELCOME PUPPIES,1415,7842.59,229,147
21121,SET/10 RED SPOTTY PARTY CANDLES,6504,7838.16,350,249
21098,CHRISTMAS TOILET ROLL,6681,7833.110000000001,412,269
21716,BOYS VINTAGE TIN SEASIDE BUCKET,3365,7818.53,306,241
22079,RIBBON REEL HEARTS DESIGN ,4783,7748.19,542,397
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,5022,7737.3,274,187
20718,RED SPOTTY SHOPPER BAG,6660,7713.2,397,237
21658,GLASS  BEURRE DISH,2037,7708.950000000001,345,166
21874,GIN AND TONIC MUG,6257,7678.51,455,211
85064,CREAM SWEETHEART LETTER RACK,1727,7676.47,239,172
21533,RETRO SPOT LARGE MILK JUG,1621,7665.55,452,263
23439,HAND WARMER RED LOVE HEART,3762,7660.200000000001,371,268
85049E,SCANDINAVIAN REDS RIBBONS,6112,7651.23,681,434
22779,WOODEN OWLS LIGHT GARLAND ,2019,7645.389999999999,191,112
22796,PHOTO FRAME 3 CLASSIC HANGING,785,7623.7,293,201
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,3239,7592.37,317,255
22212,FOUR HOOK  WHITE LOVEBIRDS,3781,7563.51,608,323
85067,CREAM SWEETHEART WALL CABINET,480,7562.86,154,110
22195,LARGE HEART MEASURING SPOONS,4635,7548.87,515,321
22327,ROUND SNACK BOXES SET OF 4 SKULLS,2661,7537.950000000001,464,256
21155,RED RETROSPOT PEG BAG,3308,7517.35,431,247
22890,NOVELTY BISCUITS CAKE STAND 3 TIER,804,7515.219999999999,230,148
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,2067,7510.29,281,195
72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,1865,7492.41,238,164
21875,KINGS CHOICE MUG,6714,7491.42,326,218
21870,I CAN ONLY PLEASE ONE PERSON MUG,6225,7472.31,539,243
82551,LAUNDRY 15C METAL SIGN,5388,7456.69,550,306
22329,ROUND CONTAINER SET OF 5 RETROSPOT,4765,7425.25,418,259
21523,DOOR MAT FANCY FONT HOME SWEET HOME,1117,7415.39,193,123
22748,POPPY'S PLAYHOUSE KITCHEN,3604,7414.61,616,410
85049A,TRADITIONAL CHRISTMAS RIBBONS,5975,7388.08,562,387
21737,SET 3 WICKER LOG BASKETS,399,7360.05,163,118
21531,RED RETROSPOT SUGAR JAM BOWL,3097,7349.25,471,267
22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,2586,7323.260000000001,507,326
22809,SET OF 6 T-LIGHTS SANTA,2543,7322.210000000001,327,259
21932,SCANDINAVIAN PAISLEY PICNIC BAG,3533,7302.76,494,315
21411,GINGHAM HEART  DOORSTOP RED,1978,7281.34,507,358
21035,SET/2 RED SPOTTY TEA TOWELS ,2538,7239.900000000001,327,192
21976,PACK OF 60 MUSHROOM CAKE CASES,14289,7203.429999999999,713,404
21463,MIRRORED DISCO BALL ,1347,7195.8,280,169
22689,DOORMAT MERRY CHRISTMAS RED ,1006,7187.54,211,182
23238,SET OF 4 KNICK KNACK TINS LONDON ,1788,7170.599999999999,233,150
21527,RETRO SPOT TRADITIONAL TEAPOT ,962,7164.900000000001,221,150
22784,LANTERN CREAM GAZEBO ,1517,7145.67,323,234
23240,SET OF 4 KNICK KNACK TINS DOILEY ,1803,7136.849999999999,172,142
22219,LOVEBIRD HANGING DECORATION WHITE ,8515,7128.55,726,384
72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,3679,7104.89,352,174
84692,BOX OF 24 COCKTAIL PARASOLS,17637,7101.35,721,348
22371,AIRLINE BAG VINTAGE TOKYO 78,1553,7094.23,505,285
22628,PICNIC BOXES SET OF 3 RETROSPOT ,1519,7071.05,250,172
23007, SPACEBOY BABY GIFT SET,450,7065.499999999999,142,110
21114,LAVENDER SCENTED FABRIC HEART,5707,7065.43,460,359
20685,DOORMAT RED SPOT,1035,7050.21,187,159
22745,POPPY'S PLAYHOUSE BEDROOM ,3439,7049.05,556,377
21497,FANCY FONTS BIRTHDAY WRAP,17575,7009.5,483,330
22283,6 EGG HOUSE PAINTED WOOD,939,7008.89,297,196
21122,SET/10 PINK SPOTTY PARTY CANDLES,5766,6970.38,363,262
23215,JINGLE BELL HEART ANTIQUE SILVER,3547,6962.04,197,162
22489,PACK OF 12 TRADITIONAL CRAYONS,17244,6954.45,609,417
22550,HOLIDAY FUN LUDO,1943,6951.5,346,275
22780,LIGHT GARLAND BUTTERFILES PINK,1844,6937.88,177,110
48173C,DOOR MAT BLACK FLOCK ,1222,6937.88,170,109
21981,PACK OF 12 WOODLAND TISSUES ,26115,6929.429999999999,386,282
23320,GIANT 50'S CHRISTMAS CRACKER,2635,6926.11,310,260
21984,PACK OF 12 PINK PAISLEY TISSUES ,25295,6922.05,350,256
22465,HANGING METAL STAR LANTERN,4483,6917.53,386,270
22813,PACK 3 BOXES BIRD PANNETONE ,3692,6889.999999999999,276,216
22356,CHARLOTTE BAG PINK POLKADOT,8535,6880.09,600,269
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,12236,6875.0,5,4
22626,BLACK KITCHEN SCALES,831,6865.93,305,200
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,4526,6848.7,181,111
22618,COOKING SET RETROSPOT,720,6848.639999999999,224,180
22563,HAPPY STENCIL CRAFT,5926,6842.65,481,293
22938,CUPCAKE LACE PAPER SET 6,3690,6837.679999999999,251,237
23321,SMALL WHITE HEART OF WICKER,4283,6832.83,582,378
22567,20 DOLLY PEGS RETROSPOT,5593,6822.83,431,287
22991,GIRAFFE WOODEN RULER,3710,6820.74,234,185
21115,ROSE CARAVAN DOORSTOP,1173,6820.51,356,266
22592,CARDHOLDER HOLLY WREATH METAL,1833,6801.85,251,207
85065,CREAM SWEETHEART TRAYS,586,6785.5,232,162
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,1887,6766.29,226,154
22055,MINI CAKE STAND  HANGING STRAWBERY,4511,6764.23,476,252
10002,INFLATABLE POLITICAL GLOBE ,8624,6761.5199999999995,297,164
21361,LOVE LARGE WOOD LETTERS ,548,6760.2,250,181
82580,BATHROOM METAL SIGN,12722,6754.26,927,443
23493,VINTAGE DOILY TRAVEL SEWING KIT,3522,6747.9,349,282
20718,RED RETROSPOT SHOPPER BAG,5676,6747.31,469,280
23083,SET 6 PAPER TABLE LANTERN STARS ,1860,6739.63,209,161
22839,3 TIER CAKE TIN GREEN AND CREAM,487,6723.01,184,138
11001,ASSTD DESIGN RACING CAR PEN,4325,6696.69,178,118
22738,RIBBON REEL SNOWY VILLAGE,4169,6690.73,352,274
23297,SET 40 HEART SHAPE PETIT FOUR CASES,4260,6677.0,140,123
22085,PAPER CHAIN KIT SKULLS ,2490,6675.5,192,141
22588,CARD HOLDER GINGHAM HEART,2589,6662.01,398,318
84568,GIRLS ALPHABET IRON ON PATCHES ,34657,6644.37,72,49
47599B,BLUE PARTY BAGS ,3517,6636.14,262,170
21903,MAN FLU METAL SIGN,3368,6628.9800000000005,346,230
21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",1430,6624.9,239,127
85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,1913,6613.55,86,73
84997A,CHILDRENS CUTLERY POLKADOT GREEN ,1688,6599.06,166,114
22349,DOG BOWL CHASING BALL DESIGN,1704,6575.62,200,144
21033,JUMBO BAG CHARLIE AND LOLA TOYS,3449,6574.9,293,163
16156S,WRAP PINK FAIRY CAKES ,16686,6569.12,417,271
23008,DOLLY GIRL BABY GIFT SET,421,6567.95,120,99
22645,CERAMIC HEART FAIRY CAKE MONEY BANK,4795,6562.63,551,338
22029,SPACEBOY BIRTHDAY CARD,16474,6555.9800000000005,808,405
23254,CHILDRENS CUTLERY DOLLY GIRL ,1628,6554.6,268,197
22358,KINGS CHOICE TEA CADDY ,2315,6554.130000000001,384,295
20685,RED SPOTTY COIR DOORMAT,1098,6545.5,164,132
22798,ANTIQUE GLASS DRESSING TABLE POT,2279,6544.01,258,173
22907,PACK OF 20 NAPKINS PANTRY DESIGN,8190,6539.5199999999995,675,445
22493,PAINT YOUR OWN CANVAS SET,4098,6502.98,335,233
37450,CERAMIC CAKE BOWL + HANGING CAKES,2363,6475.25,313,138
23293,SET OF 12 FAIRY CAKE BAKING CASES,8243,6469.45,465,323
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,8143,6458.49,536,246
20975,12 PENCILS SMALL TUBE RED RETROSPOT,10014,6450.3,459,317
21563,RED HEART SHAPE LOVE BUCKET ,2714,6447.22,302,180
37448,CERAMIC CAKE DESIGN SPOTTED MUG,4485,6443.61,433,198
48129,DOOR MAT TOPIARY,1023,6428.79,188,114
22141,CHRISTMAS CRAFT TREE TOP ANGEL,3141,6419.38,434,313
22833,HALL CABINET WITH 3 DRAWERS,191,6417.219999999999,11,9
23134,LARGE ZINC HEART WALL ORGANISER,1064,6414.48,37,29
22174,PHOTO CUBE,4185,6410.8099999999995,303,178
22783,SET 3 WICKER OVAL BASKETS W LIDS,488,6404.82,44,38
20717,STRAWBERRY SHOPPER BAG,5371,6398.53,500,283
22810,SET OF 6 T-LIGHTS SNOWMEN,2182,6391.9800000000005,280,213
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,41,6365.0,29,24
22669,RED BABY BUNTING ,2195,6355.25,334,263
22221,CAKE STAND LOVEBIRD 2 TIER PINK,885,6348.95,138,108
22528,GARDENERS KNEELING PAD,5369,6337.33,449,284
22644,CERAMIC CHERRY CAKE MONEY BANK,4800,6316.679999999999,465,304
22360,GLASS JAR ENGLISH CONFECTIONERY,2307,6316.650000000001,302,208
47502,POLKADOT CUTLERY 24 PCS IN TRAY,617,6307.15,58,40
22332,SKULLS PARTY BAG + STICKER SET,4085,6297.049999999999,334,233
21876,POTTERING MUG,5349,6280.37,403,239
48116,DOOR MAT MULTICOLOUR STRIPE,1038,6278.18,192,114
21107,CREAM SLICE FLANNEL PINK SPOT ,2310,6276.900000000001,228,167
85175,CACTI T-LIGHT CANDLES,15654,6275.96,409,199
23553,LANDMARK FRAME CAMDEN TOWN ,558,6257.35,62,50
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,713,6249.95,244,190
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,13100,6235.08,726,516
22504,CABIN BAG VINTAGE RETROSPOT,277,6216.55,76,55
22826,LOVE SEAT ANTIQUE WHITE METAL,58,6210.0,41,33
21124,SET/10 BLUE POLKADOT PARTY CANDLES,5139,6204.87,293,227
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,715,6195.73,186,129
22830,UTILTY CABINET WITH HOOKS,306,6186.54,16,14
22945,CHRISTMAS METAL TAGS ASSORTED ,7555,6183.31,278,244
37500,TEA TIME TEAPOT IN GIFT BOX,827,6166.57,216,147
21586,KINGS CHOICE GIANT TUBE MATCHES,2648,6162.900000000001,236,172
22432,WATERING CAN PINK BUNNY,3363,6155.75,424,261
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,1712,6155.04,163,136
23229,VINTAGE DONKEY TAIL GAME ,1750,6146.89,215,182
22526,WHEELBARROW FOR CHILDREN ,519,6146.37,187,153
23480,MINI LIGHTS WOODLAND MUSHROOMS,1719,6126.09,173,143
47559B,TEA TIME OVEN GLOVE,5076,6110.37,609,303
85068,CREAM SWEETHEART SHELF + HOOKS,923,6105.51,173,130
23541,WALL ART CLASSIC PUDDINGS ,821,6093.49,118,95
22224,WHITE LOVEBIRD LANTERN,2130,6090.700000000001,304,234
22431,WATERING CAN BLUE ELEPHANT,3214,6072.999999999999,498,269
22582,PACK OF 6 SWEETIE GIFT BOXES,2477,6071.26,252,225
23103,JINGLE BELL HEART DECORATION,3687,6069.15,307,223
20676,RED RETROSPOT BOWL,5214,6056.01,375,227
85047,WHITE BEADED GARLAND STRING 20LIGHT,996,6055.8,201,137
85062,PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,3804,6049.47,278,172
47591D,PINK FAIRY CAKE CHILD'S APRON,3327,6036.21,352,232
21201,TROPICAL  HONEYCOMB PAPER GARLAND ,2644,6018.6,183,109
22187,GREEN CHRISTMAS TREE CARD HOLDER,2022,6008.0199999999995,290,230
21989,PACK OF 20 SKULL PAPER NAPKINS,8102,5997.74,468,264
22430,ENAMEL WATERING CAN CREAM,1302,5985.74,303,230
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,11675,5982.09,504,366
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,2868,5963.200000000001,405,288
85178,VICTORIAN SEWING KIT,5439,5958.79,254,177
22491,PACK OF 12 COLOURED PENCILS,7446,5936.76,360,264
21124,SET/10 BLUE SPOTTY PARTY CANDLES,4887,5926.35,306,242
85174,S/4 CACTI CANDLES,1353,5924.67,229,126
21980,PACK OF 12 RED SPOTTY TISSUES ,22643,5923.089999999999,224,186
22435,SET OF 9 HEART SHAPED BALLOONS,4828,5923.04,445,303
22354,RETROSPOT PADDED SEAT CUSHION,1643,5920.27,185,125
22142,CHRISTMAS CRAFT WHITE FAIRY ,4198,5898.54,429,336
22596,CHRISTMAS STAR WISH LIST CHALKBOARD,6120,5898.32,402,309
72802C,VANILLA SCENT CANDLE JEWELLED BOX,2180,5895.34,234,143
21498,RED RETROSPOT WRAP ,14472,5893.24,438,300
22130,PARTY CONE CHRISTMAS DECORATION ,7118,5892.74,358,298
20973,12 PENCIL SMALL TUBE WOODLAND,9255,5883.15,514,309
84884A,ANT WHITE WIRE HEART SPIRAL,1666,5865.06,269,195
22900,SET 2 TEA TOWELS I LOVE LONDON ,1953,5859.25,176,111
20751,FUNKY WASHING UP GLOVES ASSORTED,2834,5857.92,408,264
22849,BREAD BIN DINER STYLE MINT,379,5837.8099999999995,147,98
22185,SLATE TILE NATURAL HANGING,3809,5833.55,375,298
21746,SMALL RED RETROSPOT WINDMILL,4898,5821.82,329,203
21625,VINTAGE UNION JACK APRON,865,5818.29,245,186
22979,PANTRY WASHING UP BRUSH,3920,5795.86,304,225
23247,BISCUIT TIN 50'S CHRISTMAS,2060,5795.2,271,231
23172,REGENCY TEA PLATE PINK,3688,5793.28,224,160
22855,FINE WICKER HEART ,4819,5791.1900000000005,345,271
22781,GUMBALL MAGAZINE RACK,788,5786.54,225,160
84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,1597,5765.55,152,107
20754,RETRO RED SPOTTY WASHING UP GLOVES,3012,5749.56,338,212
22377,BOTTLE BAG RETROSPOT ,3214,5745.49,288,200
22414,DOORMAT NEIGHBOURHOOD WITCH ,1047,5740.650000000001,127,74
22498,WOODEN REGATTA BUNTING,997,5740.150000000001,294,211
21918,SET 12 KIDS COLOUR  CHALK STICKS,14255,5735.38,585,369
23485,BOTANICAL GARDENS WALL CLOCK ,259,5719.0,80,70
23113,PANTRY CHOPPING BOARD,1138,5695.860000000001,43,39
79323W,WHITE CHERRY LIGHTS,962,5687.5,98,84
23296,SET OF 6 TEA TIME BAKING CASES,4879,5687.150000000001,319,243
21730,GLASS STAR FROSTED T-LIGHT HOLDER,1209,5681.1900000000005,259,155
22045,SPACEBOY GIFT WRAP,13767,5656.14,442,279
23204,CHARLOTTE BAG APPLES DESIGN,7039,5632.15,425,199
22311,OFFICE MUG WARMER BLACK+SILVER ,1955,5630.05,190,120
22848,BREAD BIN DINER STYLE PINK,368,5621.05,130,74
22065,CHRISTMAS PUDDING TRINKET POT ,8380,5609.0199999999995,333,249
22971,QUEENS GUARD COFFEE MUG,2365,5603.570000000001,233,164
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,2185,5603.35,258,142
22364,GLASS JAR DIGESTIVE BISCUITS,1902,5583.1,224,164
22841,ROUND CAKE TIN VINTAGE GREEN,734,5580.58,282,215
22331,WOODLAND PARTY BAG + STICKER SET,3529,5570.21,345,225
23311,VINTAGE CHRISTMAS STOCKING ,2199,5564.25,281,246
21988,PACK OF 6 SKULL PAPER PLATES,7667,5559.349999999999,350,209
22072,RED RETROSPOT TEA CUP AND SAUCER ,1628,5544.32,299,167
21561,DINOSAUR LUNCH BOX WITH CUTLERY,2338,5539.83,342,208
20979,36 PENCILS TUBE RED RETROSPOT,4579,5529.1900000000005,316,214
23312,VINTAGE CHRISTMAS GIFT SACK,1365,5527.150000000001,193,168
21768,WALL MOUNTED VINTAGE ORGANISER,460,5507.74,123,95
21703,BAG 125g SWIRLY MARBLES,14501,5505.13,452,293
22348,TEA BAG PLATE RED SPOTTY ,6871,5500.27,337,214
21110,LARGE CAKE TOWEL PINK SPOTS,1260,5487.2,229,173
22575,METAL MERRY CHRISTMAS WREATH,2888,5479.8,299,207
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,2725,5477.740000000001,321,228
16161P,WRAP ENGLISH ROSE ,13298,5477.4,440,289
21587,COSY HOUR GIANT TUBE MATCHES,2193,5462.55,255,207
